Sample('HN3L_M_1_V_0p022360679775_e_Dirac_massiveAndCKM_LO'          , ['HN3L_M_1_V_0p022360679775_e_Dirac_massiveAndCKM_LO'          ], channel, '#splitline{m= 1.0, V^{2}=5.0E-04}{Dirac    }' , selection, 'hnl_m_1.0_v2_5p0Em04_dirac'    ,  'darkorange'   , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       1.227, toplot=False), 
Sample('HN3L_M_6_V_0p00101488915651_e_Dirac_cc_massiveAndCKM_LO'     , ['HN3L_M_6_V_0p00101488915651_e_Dirac_cc_massiveAndCKM_LO'     ], channel, '#splitline{m= 6.0, V^{2}=1.0E-06}{Dirac_cc }' , selection, 'hnl_m_6.0_v2_1p0Em06_dirac_cc' ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.001815, toplot=False), 
Sample('HN3L_M_6_V_0p00202484567313_e_massiveAndCKM_LO'              , ['HN3L_M_6_V_0p00202484567313_e_massiveAndCKM_LO'              ], channel, '#splitline{m= 6.0, V^{2}=4.1E-06}{Majorana }' , selection, 'hnl_m_6.0_v2_4p1Em06_majorana' ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.01655, toplot=False), 
Sample('HN3L_M_6_V_0p00286356421266_e_Dirac_massiveAndCKM_LO'        , ['HN3L_M_6_V_0p00286356421266_e_Dirac_massiveAndCKM_LO'        ], channel, '#splitline{m= 6.0, V^{2}=8.2E-06}{Dirac    }' , selection, 'hnl_m_6.0_v2_8p2Em06_dirac'    ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.01928, toplot=False), 
Sample('HN3L_M_6_V_0p00299666481275_e_Dirac_cc_massiveAndCKM_LO'     , ['HN3L_M_6_V_0p00299666481275_e_Dirac_cc_massiveAndCKM_LO'     ], channel, '#splitline{m= 6.0, V^{2}=9.0E-06}{Dirac_cc }' , selection, 'hnl_m_6.0_v2_9p0Em06_dirac_cc' ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,      0.0158, toplot=False), 
Sample('HN3L_M_6_V_0p0316227766017_e_Dirac_massiveAndCKM_LO'         , ['HN3L_M_6_V_0p0316227766017_e_Dirac_massiveAndCKM_LO'         ], channel, '#splitline{m= 6.0, V^{2}=1.0E-03}{Dirac    }' , selection, 'hnl_m_6.0_v2_1p0Em03_dirac'    ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       2.349, toplot=False), 
Sample('HN3L_M_6_V_0p0316227766017_e_Dirac_cc_massiveAndCKM_LO'      , ['HN3L_M_6_V_0p0316227766017_e_Dirac_cc_massiveAndCKM_LO'      ], channel, '#splitline{m= 6.0, V^{2}=1.0E-03}{Dirac_cc }' , selection, 'hnl_m_6.0_v2_1p0Em03_dirac_cc' ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       1.757, toplot=False), 
Sample('HN3L_M_6_V_0p0316227766017_e_massiveAndCKM_LO'               , ['HN3L_M_6_V_0p0316227766017_e_massiveAndCKM_LO'               ], channel, '#splitline{m= 6.0, V^{2}=1.0E-03}{Majorana }' , selection, 'hnl_m_6.0_v2_1p0Em03_majorana' ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       4.038, toplot=False), 
Sample('HN3L_M_6_V_0p1_e_Dirac_massiveAndCKM_LO'                     , ['HN3L_M_6_V_0p1_e_Dirac_massiveAndCKM_LO'                     ], channel, '#splitline{m= 6.0, V^{2}=1.0E-02}{Dirac    }' , selection, 'hnl_m_6.0_v2_1p0Em02_dirac'    ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       23.54, toplot=False), 
Sample('HN3L_M_6_V_0p1_e_Dirac_cc_massiveAndCKM_LO'                  , ['HN3L_M_6_V_0p1_e_Dirac_cc_massiveAndCKM_LO'                  ], channel, '#splitline{m= 6.0, V^{2}=1.0E-02}{Dirac_cc }' , selection, 'hnl_m_6.0_v2_1p0Em02_dirac_cc' ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       17.61, toplot=False), 
Sample('HN3L_M_6_V_0p1_e_massiveAndCKM_LO'                           , ['HN3L_M_6_V_0p1_e_massiveAndCKM_LO'                           ], channel, '#splitline{m= 6.0, V^{2}=1.0E-02}{Majorana }' , selection, 'hnl_m_6.0_v2_1p0Em02_majorana' ,  'olive'        , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       40.29, toplot=False), 
Sample('HN3L_M_7_V_0p0022361_e_Dirac_massiveAndCKM_LO'               , ['HN3L_M_7_V_0p0022361_e_Dirac_massiveAndCKM_LO'               ], channel, '#splitline{m= 7.0, V^{2}=5.0E-06}{Dirac    }' , selection, 'hnl_m_7.0_v2_5p0Em06_dirac'    ,  'peru'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.01186, toplot=False), 
Sample('HN3L_M_7_V_0p0022361_e_Dirac_cc_massiveAndCKM_LO'            , ['HN3L_M_7_V_0p0022361_e_Dirac_cc_massiveAndCKM_LO'            ], channel, '#splitline{m= 7.0, V^{2}=5.0E-06}{Dirac_cc }' , selection, 'hnl_m_7.0_v2_5p0Em06_dirac_cc' ,  'peru'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.00887, toplot=False), 
Sample('HN3L_M_7_V_0p0022361_e_massiveAndCKM_LO'                     , ['HN3L_M_7_V_0p0022361_e_massiveAndCKM_LO'                     ], channel, '#splitline{m= 7.0, V^{2}=5.0E-06}{Majorana }' , selection, 'hnl_m_7.0_v2_5p0Em06_majorana' ,  'peru'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.02035, toplot=False), 
Sample('HN3L_M_7_V_0p0316227766017_e_Dirac_massiveAndCKM_LO'         , ['HN3L_M_7_V_0p0316227766017_e_Dirac_massiveAndCKM_LO'         ], channel, '#splitline{m= 7.0, V^{2}=1.0E-03}{Dirac    }' , selection, 'hnl_m_7.0_v2_1p0Em03_dirac'    ,  'peru'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       2.367, toplot=False), 
Sample('HN3L_M_7_V_0p0316227766017_e_Dirac_cc_massiveAndCKM_LO'      , ['HN3L_M_7_V_0p0316227766017_e_Dirac_cc_massiveAndCKM_LO'      ], channel, '#splitline{m= 7.0, V^{2}=1.0E-03}{Dirac_cc }' , selection, 'hnl_m_7.0_v2_1p0Em03_dirac_cc' ,  'peru'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       1.775, toplot=False), 
Sample('HN3L_M_7_V_0p0316227766017_e_massiveAndCKM_LO'               , ['HN3L_M_7_V_0p0316227766017_e_massiveAndCKM_LO'               ], channel, '#splitline{m= 7.0, V^{2}=1.0E-03}{Majorana }' , selection, 'hnl_m_7.0_v2_1p0Em03_majorana' ,  'peru'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,        4.07, toplot=False), 
Sample('HN3L_M_7_V_0p1_e_Dirac_massiveAndCKM_LO'                     , ['HN3L_M_7_V_0p1_e_Dirac_massiveAndCKM_LO'                     ], channel, '#splitline{m= 7.0, V^{2}=1.0E-02}{Dirac    }' , selection, 'hnl_m_7.0_v2_1p0Em02_dirac'    ,  'peru'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       23.71, toplot=False), 
Sample('HN3L_M_7_V_0p1_e_Dirac_cc_massiveAndCKM_LO'                  , ['HN3L_M_7_V_0p1_e_Dirac_cc_massiveAndCKM_LO'                  ], channel, '#splitline{m= 7.0, V^{2}=1.0E-02}{Dirac_cc }' , selection, 'hnl_m_7.0_v2_1p0Em02_dirac_cc' ,  'peru'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       17.75, toplot=False), 
Sample('HN3L_M_7_V_0p1_e_massiveAndCKM_LO'                           , ['HN3L_M_7_V_0p1_e_massiveAndCKM_LO'                           ], channel, '#splitline{m= 7.0, V^{2}=1.0E-02}{Majorana }' , selection, 'hnl_m_7.0_v2_1p0Em02_majorana' ,  'peru'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       40.74, toplot=False), 
Sample('HN3L_M_8_V_0p000316227766017_e_Dirac_massiveAndCKM_LO'       , ['HN3L_M_8_V_0p000316227766017_e_Dirac_massiveAndCKM_LO'       ], channel, '#splitline{m= 8.0, V^{2}=1.0E-07}{Dirac    }' , selection, 'hnl_m_8.0_v2_1p0Em07_dirac'    ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,   0.0002387, toplot=False), 
Sample('HN3L_M_8_V_0p000316227766017_e_massiveAndCKM_LO'             , ['HN3L_M_8_V_0p000316227766017_e_massiveAndCKM_LO'             ], channel, '#splitline{m= 8.0, V^{2}=1.0E-07}{Majorana }' , selection, 'hnl_m_8.0_v2_1p0Em07_majorana' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,   0.0004096, toplot=False), 
Sample('HN3L_M_8_V_0p000415932686862_e_Dirac_cc_massiveAndCKM_LO'    , ['HN3L_M_8_V_0p000415932686862_e_Dirac_cc_massiveAndCKM_LO'    ], channel, '#splitline{m= 8.0, V^{2}=1.7E-07}{Dirac_cc }' , selection, 'hnl_m_8.0_v2_1p7Em07_dirac_cc' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,   0.0003095, toplot=False), 
Sample('HN3L_M_8_V_0p000547722557505_e_Dirac_massiveAndCKM_LO'       , ['HN3L_M_8_V_0p000547722557505_e_Dirac_massiveAndCKM_LO'       ], channel, '#splitline{m= 8.0, V^{2}=3.0E-07}{Dirac    }' , selection, 'hnl_m_8.0_v2_3p0Em07_dirac'    ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.000716, toplot=False), 
Sample('HN3L_M_8_V_0p000547722557505_e_massiveAndCKM_LO'             , ['HN3L_M_8_V_0p000547722557505_e_massiveAndCKM_LO'             ], channel, '#splitline{m= 8.0, V^{2}=3.0E-07}{Majorana }' , selection, 'hnl_m_8.0_v2_3p0Em07_majorana' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.001228, toplot=False), 
Sample('HN3L_M_8_V_0p001_e_Dirac_massiveAndCKM_LO'                   , ['HN3L_M_8_V_0p001_e_Dirac_massiveAndCKM_LO'                   ], channel, '#splitline{m= 8.0, V^{2}=1.0E-06}{Dirac    }' , selection, 'hnl_m_8.0_v2_1p0Em06_dirac'    ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.002387, toplot=False), 
Sample('HN3L_M_8_V_0p001_e_massiveAndCKM_LO'                         , ['HN3L_M_8_V_0p001_e_massiveAndCKM_LO'                         ], channel, '#splitline{m= 8.0, V^{2}=1.0E-06}{Majorana }' , selection, 'hnl_m_8.0_v2_1p0Em06_majorana' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.004096, toplot=False), 
Sample('HN3L_M_8_V_0p00151327459504_e_massiveAndCKM_LO'              , ['HN3L_M_8_V_0p00151327459504_e_massiveAndCKM_LO'              ], channel, '#splitline{m= 8.0, V^{2}=2.3E-06}{Majorana }' , selection, 'hnl_m_8.0_v2_2p3Em06_majorana' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.009383, toplot=False), 
Sample('HN3L_M_8_V_0p00214242852856_e_Dirac_massiveAndCKM_LO'        , ['HN3L_M_8_V_0p00214242852856_e_Dirac_massiveAndCKM_LO'        ], channel, '#splitline{m= 8.0, V^{2}=4.6E-06}{Dirac    }' , selection, 'hnl_m_8.0_v2_4p6Em06_dirac'    ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.01096, toplot=False), 
Sample('HN3L_M_8_V_0p0022360679775_e_Dirac_massiveAndCKM_LO'         , ['HN3L_M_8_V_0p0022360679775_e_Dirac_massiveAndCKM_LO'         ], channel, '#splitline{m= 8.0, V^{2}=5.0E-06}{Dirac    }' , selection, 'hnl_m_8.0_v2_5p0Em06_dirac'    ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.01195, toplot=False), 
Sample('HN3L_M_8_V_0p0022360679775_e_Dirac_cc_massiveAndCKM_LO'      , ['HN3L_M_8_V_0p0022360679775_e_Dirac_cc_massiveAndCKM_LO'      ], channel, '#splitline{m= 8.0, V^{2}=5.0E-06}{Dirac_cc }' , selection, 'hnl_m_8.0_v2_5p0Em06_dirac_cc' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.008945, toplot=False), 
Sample('HN3L_M_8_V_0p0022360679775_e_massiveAndCKM_LO'               , ['HN3L_M_8_V_0p0022360679775_e_massiveAndCKM_LO'               ], channel, '#splitline{m= 8.0, V^{2}=5.0E-06}{Majorana }' , selection, 'hnl_m_8.0_v2_5p0Em06_majorana' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.02046, toplot=False), 
Sample('HN3L_M_8_V_0p00363318042492_e_Dirac_cc_massiveAndCKM_LO'     , ['HN3L_M_8_V_0p00363318042492_e_Dirac_cc_massiveAndCKM_LO'     ], channel, '#splitline{m= 8.0, V^{2}=1.3E-05}{Dirac_cc }' , selection, 'hnl_m_8.0_v2_1p3Em05_dirac_cc' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.02364, toplot=False), 
Sample('HN3L_M_8_V_0p0316227766017_e_Dirac_massiveAndCKM_LO'         , ['HN3L_M_8_V_0p0316227766017_e_Dirac_massiveAndCKM_LO'         ], channel, '#splitline{m= 8.0, V^{2}=1.0E-03}{Dirac    }' , selection, 'hnl_m_8.0_v2_1p0Em03_dirac'    ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       2.388, toplot=False), 
Sample('HN3L_M_8_V_0p0316227766017_e_Dirac_cc_massiveAndCKM_LO'      , ['HN3L_M_8_V_0p0316227766017_e_Dirac_cc_massiveAndCKM_LO'      ], channel, '#splitline{m= 8.0, V^{2}=1.0E-03}{Dirac_cc }' , selection, 'hnl_m_8.0_v2_1p0Em03_dirac_cc' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       1.789, toplot=False), 
Sample('HN3L_M_8_V_0p0316227766017_e_massiveAndCKM_LO'               , ['HN3L_M_8_V_0p0316227766017_e_massiveAndCKM_LO'               ], channel, '#splitline{m= 8.0, V^{2}=1.0E-03}{Majorana }' , selection, 'hnl_m_8.0_v2_1p0Em03_majorana' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       4.095, toplot=False), 
Sample('HN3L_M_8_V_0p1_e_Dirac_massiveAndCKM_LO'                     , ['HN3L_M_8_V_0p1_e_Dirac_massiveAndCKM_LO'                     ], channel, '#splitline{m= 8.0, V^{2}=1.0E-02}{Dirac    }' , selection, 'hnl_m_8.0_v2_1p0Em02_dirac'    ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       23.88, toplot=False), 
Sample('HN3L_M_8_V_0p1_e_Dirac_cc_massiveAndCKM_LO'                  , ['HN3L_M_8_V_0p1_e_Dirac_cc_massiveAndCKM_LO'                  ], channel, '#splitline{m= 8.0, V^{2}=1.0E-02}{Dirac_cc }' , selection, 'hnl_m_8.0_v2_1p0Em02_dirac_cc' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       17.92, toplot=False), 
Sample('HN3L_M_8_V_0p1_e_massiveAndCKM_LO'                           , ['HN3L_M_8_V_0p1_e_massiveAndCKM_LO'                           ], channel, '#splitline{m= 8.0, V^{2}=1.0E-02}{Majorana }' , selection, 'hnl_m_8.0_v2_1p0Em02_majorana' ,  'darkgray'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       40.94, toplot=False), 
Sample('HN3L_M_9_V_0p00316227766017_e_Dirac_massiveAndCKM_LO'        , ['HN3L_M_9_V_0p00316227766017_e_Dirac_massiveAndCKM_LO'        ], channel, '#splitline{m= 9.0, V^{2}=1.0E-05}{Dirac    }' , selection, 'hnl_m_9.0_v2_1p0Em05_dirac'    ,  'plum'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.02395, toplot=False), 
Sample('HN3L_M_9_V_0p00316227766017_e_Dirac_cc_massiveAndCKM_LO'     , ['HN3L_M_9_V_0p00316227766017_e_Dirac_cc_massiveAndCKM_LO'     ], channel, '#splitline{m= 9.0, V^{2}=1.0E-05}{Dirac_cc }' , selection, 'hnl_m_9.0_v2_1p0Em05_dirac_cc' ,  'plum'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.01796, toplot=False), 
Sample('HN3L_M_9_V_0p00316227766017_e_massiveAndCKM_LO'              , ['HN3L_M_9_V_0p00316227766017_e_massiveAndCKM_LO'              ], channel, '#splitline{m= 9.0, V^{2}=1.0E-05}{Majorana }' , selection, 'hnl_m_9.0_v2_1p0Em05_majorana' ,  'plum'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.04102, toplot=False), 
Sample('HN3L_M_9_V_0p0316227766017_e_Dirac_massiveAndCKM_LO'         , ['HN3L_M_9_V_0p0316227766017_e_Dirac_massiveAndCKM_LO'         ], channel, '#splitline{m= 9.0, V^{2}=1.0E-03}{Dirac    }' , selection, 'hnl_m_9.0_v2_1p0Em03_dirac'    ,  'plum'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       2.397, toplot=False), 
Sample('HN3L_M_9_V_0p0316227766017_e_Dirac_cc_massiveAndCKM_LO'      , ['HN3L_M_9_V_0p0316227766017_e_Dirac_cc_massiveAndCKM_LO'      ], channel, '#splitline{m= 9.0, V^{2}=1.0E-03}{Dirac_cc }' , selection, 'hnl_m_9.0_v2_1p0Em03_dirac_cc' ,  'plum'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       1.796, toplot=False), 
Sample('HN3L_M_9_V_0p0316227766017_e_massiveAndCKM_LO'               , ['HN3L_M_9_V_0p0316227766017_e_massiveAndCKM_LO'               ], channel, '#splitline{m= 9.0, V^{2}=1.0E-03}{Majorana }' , selection, 'hnl_m_9.0_v2_1p0Em03_majorana' ,  'plum'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,       4.118, toplot=False), 
Sample('HN3L_M_10_V_0p000208566536146_e_Dirac_cc_massiveAndCKM_LO'   , ['HN3L_M_10_V_0p000208566536146_e_Dirac_cc_massiveAndCKM_LO'   ], channel, '#splitline{m=10.0, V^{2}=4.3E-08}{Dirac_cc }' , selection, 'hnl_m_10.0_v2_4p3Em08_dirac_cc',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,   7.827e-05, toplot=False), 
Sample('HN3L_M_10_V_0p000316227766017_e_Dirac_massiveAndCKM_LO'      , ['HN3L_M_10_V_0p000316227766017_e_Dirac_massiveAndCKM_LO'      ], channel, '#splitline{m=10.0, V^{2}=1.0E-07}{Dirac    }' , selection, 'hnl_m_10.0_v2_1p0Em07_dirac'   ,  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,   0.0002404, toplot=False), 
Sample('HN3L_M_10_V_0p000316227766017_e_massiveAndCKM_LO'            , ['HN3L_M_10_V_0p000316227766017_e_massiveAndCKM_LO'            ], channel, '#splitline{m=10.0, V^{2}=1.0E-07}{Majorana }' , selection, 'hnl_m_10.0_v2_1p0Em07_majorana',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,   0.0004118, toplot=False), 
Sample('HN3L_M_10_V_0p000547722557505_e_Dirac_massiveAndCKM_LO'      , ['HN3L_M_10_V_0p000547722557505_e_Dirac_massiveAndCKM_LO'      ], channel, '#splitline{m=10.0, V^{2}=3.0E-07}{Dirac    }' , selection, 'hnl_m_10.0_v2_3p0Em07_dirac'   ,  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,   0.0007208, toplot=False), 
Sample('HN3L_M_10_V_0p000547722557505_e_massiveAndCKM_LO'            , ['HN3L_M_10_V_0p000547722557505_e_massiveAndCKM_LO'            ], channel, '#splitline{m=10.0, V^{2}=3.0E-07}{Majorana }' , selection, 'hnl_m_10.0_v2_3p0Em07_majorana',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.001237, toplot=False), 
Sample('HN3L_M_10_V_0p000756967634711_e_massiveAndCKM_LO'            , ['HN3L_M_10_V_0p000756967634711_e_massiveAndCKM_LO'            ], channel, '#splitline{m=10.0, V^{2}=5.7E-07}{Majorana }' , selection, 'hnl_m_10.0_v2_5p7Em07_majorana',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.002366, toplot=False), 
Sample('HN3L_M_10_V_0p001_e_Dirac_massiveAndCKM_LO'                  , ['HN3L_M_10_V_0p001_e_Dirac_massiveAndCKM_LO'                  ], channel, '#splitline{m=10.0, V^{2}=1.0E-06}{Dirac    }' , selection, 'hnl_m_10.0_v2_1p0Em06_dirac'   ,  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.002403, toplot=False), 
Sample('HN3L_M_10_V_0p001_e_massiveAndCKM_LO'                        , ['HN3L_M_10_V_0p001_e_massiveAndCKM_LO'                        ], channel, '#splitline{m=10.0, V^{2}=1.0E-06}{Majorana }' , selection, 'hnl_m_10.0_v2_1p0Em06_majorana',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.004114, toplot=False), 
Sample('HN3L_M_10_V_0p00107238052948_e_Dirac_massiveAndCKM_LO'       , ['HN3L_M_10_V_0p00107238052948_e_Dirac_massiveAndCKM_LO'       ], channel, '#splitline{m=10.0, V^{2}=1.2E-06}{Dirac    }' , selection, 'hnl_m_10.0_v2_1p2Em06_dirac'   ,  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.002764, toplot=False), 
Sample('HN3L_M_10_V_0p00112249721603_e_Dirac_cc_massiveAndCKM_LO'    , ['HN3L_M_10_V_0p00112249721603_e_Dirac_cc_massiveAndCKM_LO'    ], channel, '#splitline{m=10.0, V^{2}=1.3E-06}{Dirac_cc }' , selection, 'hnl_m_10.0_v2_1p3Em06_dirac_cc',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,    0.002268, toplot=False), 
Sample('HN3L_M_10_V_0p00316227766017_e_Dirac_massiveAndCKM_LO'       , ['HN3L_M_10_V_0p00316227766017_e_Dirac_massiveAndCKM_LO'       ], channel, '#splitline{m=10.0, V^{2}=1.0E-05}{Dirac    }' , selection, 'hnl_m_10.0_v2_1p0Em05_dirac'   ,  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.02404, toplot=False), 
Sample('HN3L_M_10_V_0p00316227766017_e_Dirac_cc_massiveAndCKM_LO'    , ['HN3L_M_10_V_0p00316227766017_e_Dirac_cc_massiveAndCKM_LO'    ], channel, '#splitline{m=10.0, V^{2}=1.0E-05}{Dirac_cc }' , selection, 'hnl_m_10.0_v2_1p0Em05_dirac_cc',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.01802, toplot=False), 
Sample('HN3L_M_10_V_0p00316227766017_e_massiveAndCKM_LO'             , ['HN3L_M_10_V_0p00316227766017_e_massiveAndCKM_LO'             ], channel, '#splitline{m=10.0, V^{2}=1.0E-05}{Majorana }' , selection, 'hnl_m_10.0_v2_1p0Em05_majorana',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.04116, toplot=False), 
Sample('HN3L_M_10_V_0p01_e_Dirac_massiveAndCKM_LO'                   , ['HN3L_M_10_V_0p01_e_Dirac_massiveAndCKM_LO'                   ], channel, '#splitline{m=10.0, V^{2}=1.0E-04}{Dirac    }' , selection, 'hnl_m_10.0_v2_1p0Em04_dirac'   ,  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,      0.2405, toplot=False), 
Sample('HN3L_M_10_V_0p01_e_Dirac_cc_massiveAndCKM_LO'                , ['HN3L_M_10_V_0p01_e_Dirac_cc_massiveAndCKM_LO'                ], channel, '#splitline{m=10.0, V^{2}=1.0E-04}{Dirac_cc }' , selection, 'hnl_m_10.0_v2_1p0Em04_dirac_cc',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,      0.1803, toplot=False), 
Sample('HN3L_M_10_V_0p01_e_massiveAndCKM_LO'                         , ['HN3L_M_10_V_0p01_e_massiveAndCKM_LO'                         ], channel, '#splitline{m=10.0, V^{2}=1.0E-04}{Majorana }' , selection, 'hnl_m_10.0_v2_1p0Em04_majorana',  'teal'         , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,      0.4122, toplot=False), 
Sample('HN3L_M_11_V_0p00316227766017_e_Dirac_massiveAndCKM_LO'       , ['HN3L_M_11_V_0p00316227766017_e_Dirac_massiveAndCKM_LO'       ], channel, '#splitline{m=11.0, V^{2}=1.0E-05}{Dirac    }' , selection, 'hnl_m_11.0_v2_1p0Em05_dirac'   ,  'seagreen'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.02401, toplot=False), 
Sample('HN3L_M_11_V_0p00316227766017_e_Dirac_cc_massiveAndCKM_LO'    , ['HN3L_M_11_V_0p00316227766017_e_Dirac_cc_massiveAndCKM_LO'    ], channel, '#splitline{m=11.0, V^{2}=1.0E-05}{Dirac_cc }' , selection, 'hnl_m_11.0_v2_1p0Em05_dirac_cc',  'seagreen'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,     0.01796, toplot=False), 
Sample('HN3L_M_11_V_0p00316227766017_e_massiveAndCKM_LO'             , ['HN3L_M_11_V_0p00316227766017_e_massiveAndCKM_LO'             ], channel, '#splitline{m=11.0, V^{2}=1.0E-05}{Majorana }' , selection, 'hnl_m_11.0_v2_1p0Em05_majorana',  'seagreen'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,      0.0412, toplot=False), 
Sample('HN3L_M_11_V_0p01_e_Dirac_massiveAndCKM_LO'                   , ['HN3L_M_11_V_0p01_e_Dirac_massiveAndCKM_LO'                   ], channel, '#splitline{m=11.0, V^{2}=1.0E-04}{Dirac    }' , selection, 'hnl_m_11.0_v2_1p0Em04_dirac'   ,  'seagreen'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,      0.2398, toplot=False), 
Sample('HN3L_M_11_V_0p01_e_Dirac_cc_massiveAndCKM_LO'                , ['HN3L_M_11_V_0p01_e_Dirac_cc_massiveAndCKM_LO'                ], channel, '#splitline{m=11.0, V^{2}=1.0E-04}{Dirac_cc }' , selection, 'hnl_m_11.0_v2_1p0Em04_dirac_cc',  'seagreen'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,      0.1801, toplot=False), 
Sample('HN3L_M_11_V_0p01_e_massiveAndCKM_LO'                         , ['HN3L_M_11_V_0p01_e_massiveAndCKM_LO'                         ], channel, '#splitline{m=11.0, V^{2}=1.0E-04}{Majorana }' , selection, 'hnl_m_11.0_v2_1p0Em04_majorana',  'seagreen'     , 10, '/'.join([basedir, 'sig']), post_fix, False, True, True, 1.,      0.4117, toplot=False), 
